,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
818,Faye Webster,Hurts Me Too,0uphGVj1uIticJK6gb2WnO,63,0.464,0.299,5,-11.424,1,0.0275,0.105,0.261,0.0911,0.116,95.548,201120,3
819,Free Nationals,Time,7klPHv3HnXdUY3dSfTccNc,65,0.469,0.771,5,-7.071,1,0.338,0.518,0.000197,0.0789,0.298,88.968,210385,4
820,Calibre 50,Simplemente Gracias,3K6noLeoPTQJ5jUErC8jT5,71,0.755,0.557,3,-5.982,1,0.0302,0.691,0.0,0.104,0.743,130.03,203200,4
821,Mahalia,What You Did (feat. Ella Mai),2B7UWqNqKgPVGQQ6FXn2PP,65,0.734,0.511,0,-4.905,0,0.0592,0.148,0.0,0.29,0.727,124.995,206947,4
822,Logic,Keanu Reeves,3PYx9Wte3jwb48V0wArMOy,64,0.712,0.891,2,-6.457,1,0.24,0.0557,0.0,0.134,0.799,170.13,225920,4
823,The Japanese House,i saw you in a dream,0ltmioOsLQsL0OFgcPbdVi,61,0.26,0.261,4,-9.651,1,0.0358,0.837,0.0,0.249,0.226,138.2,200304,3
824,Machine Gun Kelly,el Diablo,2jRmKc69qzGKzGU9SdH5u7,66,0.765,0.725,3,-3.391,0,0.142,0.00471,0.000194,0.154,0.578,75.003,146264,4
825,Luke Combs,Blue Collar Boys,0wovagMoJqtU8LUvDQnewu,64,0.531,0.813,5,-5.517,1,0.0327,0.00807,0.0,0.359,0.79,154.134,219920,4
826,Rainbow Kitten Surprise,Heart,5L7IgwUPhir2FJftGNXJDW,62,0.632,0.556,1,-8.851,1,0.12,0.721,0.0,0.0995,0.385,78.603,219696,4
827,Natanael Cano,El Drip,5NCBP3ivrIDcHEtzHSW3k0,72,0.73,0.702,10,-4.582,0,0.0337,0.329,0.0,0.119,0.868,102.304,142911,3
828,Grupo Firme,El Amor No Fue Pa´ Mí - En Vivo,3dkEwOKhFselY2m22Nj2vi,69,0.546,0.663,8,-6.968,1,0.1,0.176,1.82e-06,0.674,0.934,145.422,226816,4
829,Larry June,Smoothies In 1991,5hmv0zcBcIX8OIVG98imHa,61,0.661,0.736,9,-6.876,1,0.287,0.065,0.0,0.124,0.652,91.917,224348,4
830,YNW Melly,No Heart,0rhxoXFMKRtm1dQJfi72Yh,63,0.76,0.568,9,-3.92,1,0.0558,0.505,0.0,0.107,0.414,77.482,221419,4
831,Shrimp,this body means nothing to me,2zQQai9nqofvLZ703t0Jxi,64,0.564,0.596,3,-5.909,1,0.0273,0.798,0.787,0.118,0.308,135.014,131437,4
832,Pentatonix,"You're A Mean One, Mr. Grinch",4uByAtEx2ED4ig3EHyt90p,62,0.657,0.531,7,-6.74,0,0.0672,0.0543,0.0,0.0887,0.522,104.919,180027,4
833,Lady A,What If I Never Get Over You,0qkdE1C0ufnUISKwhg8Wh6,63,0.576,0.724,0,-5.147,1,0.0274,0.016,0.0,0.107,0.34,93.029,206598,4
834,Khalid,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP,66,0.729,0.545,0,-7.818,1,0.0316,0.0174,0.000274,0.369,0.514,103.012,177067,4
835,Tyler Childers,Country Squire,1bp2PcwZgR9LwBdoERsOuJ,61,0.508,0.725,9,-7.203,1,0.0398,0.524,2.65e-05,0.479,0.916,166.872,201427,4
836,ScHoolboy Q,Dangerous (feat. Kid Cudi),0IH3D0P8OrQFs6ajcqbm0R,64,0.414,0.544,5,-9.455,1,0.102,0.636,1.71e-05,0.0813,0.0569,171.867,150613,4
837,Baby White Noise Machine,White Noise for Babies,2uefxEhCP5uj0gTX3myast,68,0.207,0.594,6,-33.05,0,0.0573,0.932,0.743,0.111,0.0353,135.367,61048,4
838,Stian Jarrell,Sussex Carol,1vCKQqP4EIInHeXIAmaaKi,63,0.367,0.0113,5,-30.692,1,0.0496,0.995,0.927,0.108,0.283,62.139,145081,4
839,BAYNK,Water,0bHLNUoBzK83c61N9W4ohF,65,0.612,0.532,6,-6.834,0,0.0426,0.187,0.576,0.147,0.0795,101.991,175194,4
840,why mona,Wannabe,5ACZOGjT6I5He0pDZED56Z,73,0.578,0.724,6,-7.02,0,0.0865,0.192,2.38e-05,0.235,0.465,169.827,217412,4
841,Travis Denning,After A Few,1z6wl2rwKatfmza6usanWw,61,0.617,0.849,10,-4.316,0,0.0355,0.0146,0.0,0.194,0.695,106.998,213493,4
842,Juice WRLD,Desire,0C3gyphZJY83XplEHz30m0,64,0.598,0.768,1,-4.713,0,0.0484,0.106,0.0,0.107,0.206,148.007,189813,4
843,Lana Del Rey,hope is a dangerous thing for a woman like me to have - but I have it,0fB77VOZ2FkQeKLv1DuEwp,70,0.49,0.104,4,-13.208,0,0.0635,0.964,0.0,0.162,0.278,86.675,324499,4
844,Ant Saunders,Yellow Hearts,2W4yABdLc4Jnds67Poi5Nl,67,0.866,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.039,223258,4
845,Noah Kahan,Hurt Somebody,2Zg0aB5oVQlbQE1vzQmIIY,68,0.638,0.51,1,-6.485,1,0.305,0.344,0.0,0.212,0.448,114.576,167107,4
846,Nonpoint,Bullet With a Name,50OsF8Rbv8VQS0WAP0uB3i,62,0.577,0.884,10,-3.548,0,0.0903,0.00024,0.000262,0.287,0.686,91.026,206405,3
847,DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0KoiMHhqKLoL4xM54rcWYY,74,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4
848,HARDY,"SIGNED, SOBER YOU",3hdh8HHhZyhO5oqDjjKVAn,60,0.536,0.445,0,-7.969,1,0.0304,0.601,0.0,0.0961,0.342,132.035,208479,4
849,Juice WRLD,Out My Way,2wkej79m7pKn0iTljW929c,63,0.665,0.832,10,-3.166,0,0.34,0.107,0.0,0.776,0.498,164.147,156621,4
850,A$AP Ferg,WAM,7f2HHmhlbdkW5f9Ge26qny,64,0.838,0.624,1,-4.557,0,0.228,0.0624,0.0,0.217,0.117,95.937,157587,4
851,Cigarettes After Sex,You're the Only Good Thing in My Life,69BeOEL0DFLwA3WplXJxX5,62,0.462,0.288,5,-11.199,1,0.0288,0.781,0.756,0.131,0.0589,130.164,275187,4
852,Polo G,Dyin Breed,2bGEPdcL80FFHQ3VxcYBJQ,62,0.77,0.599,2,-8.663,0,0.661,0.0131,0.0,0.0711,0.427,159.966,179773,4
853,Joan Sebastian,Te Irá Mejor Sin Mí,3d7uS6KzdacpUccKpjXr7x,71,0.699,0.414,9,-10.756,1,0.0269,0.65,0.000942,0.103,0.419,99.993,176320,4
